ID,Subject,Question_English,Question_Yoruba,Question_Hausa,Question_Igbo,Correct_Answer
IS_033,Math,How many days are in a week?,Ọjọ́ mélòó ni ó wà nínú ọ̀sẹ̀ kan?,Kwanki nawa ne a mako guda?,Ole bụ ụbọchị dị n'ime izu otu?,7 / Méje / Bakwai / Asaa
IS_034,Math,What shape has 3 sides?,Àwòrán onígun mélòó ló ní ìhà 3?,Wace siffa ce take da ɓangarori uku?,Kedu ọdịdị nwere akụkụ atọ?,Triangle / Onígun mẹ́ta / Mai kusurwa uku / Triangle
IS_035,Math,Half of 4 is what?,Ìdajì mẹ́rin jẹ́ kí ni?,Rabon huɗu nawa ne?,Ọkara nke anọ bụ ole?,2 / Mejì / Biyu / Abụọ
IS_036,Math,What is 20 minus 5?,Mélòó ni ogún yọ márun?,Nawa ne ashirin debar biyar?,Iri abụọ wepụ ise bụ ole?,15 / Mẹ́dogun / Goma sha biyar / Iri na ise
IS_037,Math,How many months are in a year?,Oṣù mélòó ni ó wà nínú ọdún kan?,Watanni nawa ne a shekara guda?,Ọnwa ole dị n'ime otu afọ?,12 / Mejìlá / Goma sha biyu / Iri na abụọ
IS_038,Math,What is the symbol for addition?,Kí ni àmì fún ìròpọ̀?,Menene alamar ƙari?,Kedu ihe akara mgbakọ na nkwagharị?,+ / Plus
IS_039,Tech,What do we use to see websites on the internet?,Kí ni a ń lò láti wo àwọn ojú-ewé lórí íńtánẹ́ẹ̀tì?,Me muke amfani da shi don duba shafukan yanar gizo?,Gịnị ka anyị na-eji ahụ saịtị n'ịntanetị?,Web Browser
IS_040,Tech,Which button on a keyboard is the longest?,Bọ́tìnì wo lórí ìtẹ̀wé ló gùn jù lọ?,Wane maballin ne ya fi tsayi a jikin madannai?,Kedu bọtịnụ kachasị ogologo na 'keyboard'?,Spacebar
IS_041,Tech,Can a computer work without electricity or a battery?,Ǹjẹ́ kọ̀m̀pútà lè ṣiṣẹ́ láìsí iná mànàmáná tàbí bátìrì?,Shin kwamfuta za ta iya aiki ba tare da wutar lantarki ko baturi ba?,Kọmputa ọ nwere ike ịrụ ọrụ n'enweghị ọkụ eletrik ma ọ bụ batrị?,No / Rárá / A'a / Mba
IS_042,Earth,Which planet is known as the 'Red Planet'?,Púlánẹ́ẹ̀tì wo ni a mọ̀ sí 'Púlánẹ́ẹ̀tì Pupa'?,Wace duniya ce aka sani da 'Jajayen Duniya'?,Kedu 'planet' a maara dị ka 'Red Planet'?,Mars
IS_043,Earth,What is the process of water falling from clouds called?,Kí ni a ń pe ìlànà tí omi ń já bọ́ láti inú àwọsánmọ̀?,Me muke kiran saukar ruwa daga gajimare?,Gịnị ka anyị na-akpọ mmiri na-esi n'igwe adaba?,Rain / Òjò / Ruwan sama / Mmiri ozuzo
IS_044,Earth,Which season follows the rainy season in Nigeria?,Sáà wo ló ń tẹ̀ lé sáà òjò ní Nàìjíríà?,Wane lokaci ne yake biyo bayan lokacin damina a Najeriya?,Kedu oge na-esote oge mmiri ozuzo na Naịjirịa?,Dry Season / Sáà ọ̀dá / Lokacin rani / Ọkọchị
IS_045,Earth,What are large bodies of salt water called?,Kí ni a ń pe àwọn omi iyọ̀ títóbi?,Me muke kiran manyan tekuna masu gishiri?,Gịnị ka anyị na-akpọ nnukwu mmiri nnu?,Oceans / Òkun / Tekuna / Oke osimiri
IS_046,Earth,What gas do humans breathe in to live?,Afẹ́fẹ́ wo ni àwọn ènìyàn ń mí sínú láti wà láàyè?,Wace iska ce mutane suke sha don su rayu?,Kedu ikuku ụmụ mmadụ na-eku ume iji dịrị ndụ?,Oxygen
IS_047,Earth,Which part of the Earth is mostly covered by water?,Apá wo nínú ayé ni omi bo jù lọ?,Wane sashi na duniya ne mafi yawansa ruwa ne ya rufe shi?,Kedu akụkụ ụwa mmiri kachasị kpuchie?,Surface / Ojú ayé / Doron ƙasa / Elu ụwa
IS_048,Earth,What do we call a mountain that can explode with lava?,Kí ni a ń pe òkè tí ó lè bú pẹ̀lú láfà?,Me muke kiran dutsen da yake aman wuta?,Gịnị ka anyị na-akpọ ugwu nwere ike ịgbapụta 'lava'?,Volcano
IS_049,Earth,How long does it take for the Earth to go around the sun once?,Báwo ni ó ṣe ń pẹ́ tó fún ayé láti yí oòrùn ká lẹ́ẹ̀kan?,Tsawon lokaci nawa ne duniya take zagaya rana sau daya?,Ole ka ọ na-ewe ụwa ịgba anyanwụ gburugwu otu ugboro?,One Year / Ọdún kan / Shekara guda / Otu afọ
IS_050,Earth,Which star is closest to the Earth?,Ìràwọ̀ wo ló sún mọ́ ayé jù lọ?,Wane tauraro ne ya fi kusa da duniya?,Kedu kpakpando kachasị ụwa nso?,The Sun / Oòrùn / Rana / Anyanwụ
